organism_category,contaminants
actinomyces_bovis,1
actinomyces_dentalis,1
actinomyces_funkei,1
actinomyces_gerencseriae,1
actinomyces_graevenitzii,1
actinomyces_israelii,1
actinomyces_naeslundii,1
actinomyces_oricola,1
actinomyces_oris,1
actinomyces_radicidentis,1
actinomyces_sp,1
actinomyces_urogenitalis,1
actinomyces_viscosus,1
aerococcus_christensenii,1
aerococcus_sanguinicola,1
aerococcus_sp,1
aerococcus_urinae,1
aerococcus_urinaeequi,1
aerococcus_urinaehominis,1
aerococcus_viridans,1
arcanobacterium_haemolyticum,1
arcanobacterium_pluranimalium,1
arcanobacterium_sp,1
arthrobacter_agilis,1
arthrobacter_astrocyaneus,1
arthrobacter_citreus,1
arthrobacter_crystallopoietes,1
arthrobacter_flavus,1
arthrobacter_gandavensis,1
arthrobacter_globiformis,1
arthrobacter_koreensis,1
arthrobacter_luteolus,1
arthrobacter_methylotrophus,1
arthrobacter_nasiphocae,1
arthrobacter_oryzae,1
arthrobacter_pascens,1
arthrobacter_psychrolactophilus,1
arthrobacter_ramosus,1
arthrobacter_rhombi,1
arthrobacter_roseus,1
arthrobacter_russicus,1
arthrobacter_sp,1
arthrobacter_viscosus,1
arthrobacter_woluwensis,1
bacillus_aeolius,1
bacillus_aerius,1
bacillus_alcalophilus,1
bacillus_algicola,1
bacillus_amyloliquefaciens,1
bacillus_aquimaris,1
bacillus_arseniciselenatis,1
bacillus_asahii,1
bacillus_atrophaeus,1
bacillus_azotoformans,1
bacillus_badius,1
bacillus_bataviensis,1
bacillus_benzoevorans,1
bacillus_butanolivorans,1
bacillus_carboniphilus,1
bacillus_cereus,1
bacillus_cereus_group,1
bacillus_chittonlyticus,1
bacillus_circulans,1
bacillus_circulans_group,1
bacillus_clarkii,1
bacillus_clausii,1
bacillus_cohnii,1
bacillus_decisifrondis,1
bacillus_decolorationis,1
bacillus_dipsosauri,1
bacillus_ehimensis,1
bacillus_farraginis,1
bacillus_fastidiosus,1
bacillus_firmus,1
bacillus_fordii,1
bacillus_fortis,1
bacillus_fumarioli,1
bacillus_funiculus,1
bacillus_galactosidilyticus,1
bacillus_gibsonii,1
bacillus_gornadae,1
bacillus_halmapalus,1
bacillus_halodenitrificans,1
bacillus_halodurans,1
bacillus_horikoshii,1
bacillus_horti,1
bacillus_humi,1
bacillus_hwajinpoensis,1
bacillus_idriensis,1
bacillus_indicus,1
bacillus_infantis,1
bacillus_infernus,1
bacillus_kaustophilus,1
bacillus_korlensis,1
bacillus_krulwichiae,1
bacillus_lentus,1
bacillus_licheniformis,1
bacillus_luciferensis,1
bacillus_macroides,1
bacillus_macyae,1
bacillus_marisflavi,1
bacillus_methanolicus,1
bacillus_mojavensis,1
bacillus_muralis,1
bacillus_mycoides,1
bacillus_nealsonii,1
bacillus_niacini,1
bacillus_novalis,1
bacillus_okuhidensis,1
bacillus_oleronius,1
bacillus_pasteurii,1
bacillus_patagoniensis,1
bacillus_pocheonensis,1
bacillus_pseudalcaliphilus,1
bacillus_pseudofirmus,1
bacillus_pseudomycoides,1
bacillus_psychrophilus,1
bacillus_psychrosaccharolyticus,1
bacillus_pulvifaciens,1
bacillus_pumilus,1
bacillus_salexigens,1
bacillus_saliphilus,1
bacillus_selenitireducens,1
bacillus_shackletonii,1
bacillus_simplex,1
bacillus_siralis,1
bacillus_smithii,1
bacillus_sonorensis,1
bacillus_sp,1
bacillus_sporothermodurans,1
bacillus_subtilis,1
bacillus_tequilensis,1
bacillus_thermantarcticus,1
bacillus_thermoamylovorans,1
bacillus_thermocatenulatus,1
bacillus_thermocloacae,1
bacillus_thuringiensis,1
bacillus_tusciae,1
bacillus_vallismortis,1
bacillus_vedderi,1
bacillus_velezensis,1
bacillus_vietnamensis,1
bacillus_vireti,1
bacillus_weihenstephanensis,1
brevibacillus_agri,1
brevibacillus_brevis,1
brevibacillus_centrosporus,1
brevibacillus_laterosporus,1
brevibacillus_parabrevis,1
brevibacillus_sp,1
brevibacterium_casei,1
brevibacterium_epidermidis,1
brevibacterium_linens,1
brevibacterium_luteolum,1
brevibacterium_mcbrellneri,1
brevibacterium_ravenspurgense,1
brevibacterium_sanguinis,1
brevibacterium_sp,1
cellulomonas_hominis,1
cellulomonas_humilata,1
cellulomonas_sp,1
cellulosimicrobium_cellulans,1
cellulosimicrobium_sp,1
corynebacterium_accolens,1
corynebacterium_afermentans,1
corynebacterium_ammoniagenes,1
corynebacterium_amycolatum,1
corynebacterium_appendicis,1
corynebacterium_aquilae,1
corynebacterium_argentoratense,1
corynebacterium_atypicum,1
corynebacterium_aurimucosum,1
corynebacterium_auris,1
corynebacterium_auriscanis,1
corynebacterium_beticola,1
corynebacterium_bovis,1
corynebacterium_callunae,1
corynebacterium_camporealensis,1
corynebacterium_capitovis,1
corynebacterium_casei,1
corynebacterium_caspium,1
corynebacterium_ciconiae,1
corynebacterium_confusum,1
corynebacterium_coyleae,1
corynebacterium_cystitidis,1
corynebacterium_durum,1
corynebacterium_efficiens,1
corynebacterium_falsenii,1
corynebacterium_felinum,1
corynebacterium_flavescens,1
corynebacterium_freneyi,1
corynebacterium_genitalium,1
corynebacterium_glaucum,1
corynebacterium_glucuronolyticum,1
corynebacterium_glutamicum,1
corynebacterium_halotolerans,1
corynebacterium_imitans,1
corynebacterium_jeikeium,1
corynebacterium_kroppenstedtii,1
corynebacterium_kutscheri,1
corynebacterium_lipophiloflavum,1
corynebacterium_macginleyi,1
corynebacterium_manihot,1
corynebacterium_massiliense,1
corynebacterium_mastitidis,1
corynebacterium_matruchotii,1
corynebacterium_mediolanum,1
corynebacterium_minutissimum,1
corynebacterium_mucifaciens,1
corynebacterium_murisepticum,1
corynebacterium_mycetoides,1
corynebacterium_nephridii,1
corynebacterium_phocae,1
corynebacterium_pilosum,1
corynebacterium_propinquum,1
corynebacterium_pseudodiphtheriticum,1
corynebacterium_pseudogenitalium,1
corynebacterium_pseudotuberculosis,1
corynebacterium_pseudotuberculostearicum,1
corynebacterium_pyruviciproducens,1
corynebacterium_renale,1
corynebacterium_resistens,1
corynebacterium_riegelii,1
corynebacterium_rubrum,1
corynebacterium_simulans,1
corynebacterium_singulare,1
corynebacterium_sp,1
corynebacterium_sphenisci,1
corynebacterium_spheniscorum,1
corynebacterium_striatum,1
corynebacterium_suicordis,1
corynebacterium_sundsvallense,1
corynebacterium_tenuis,1
corynebacterium_terpenotabidum,1
corynebacterium_testudinoris,1
corynebacterium_thomssenii,1
corynebacterium_tuberculostearicum,1
corynebacterium_tuscaniense,1
corynebacterium_ulcerans,1
corynebacterium_urealyticum,1
corynebacterium_ureicelerivorans,1
corynebacterium_variabile,1
corynebacterium_viscosum,1
corynebacterium_vitaeruminis,1
corynebacterium_xerosis,1
coryneform_bacteria,1
cutibacterium_acnes,1
cutibacterium_avidum,1
cutibacterium_granulosum,1
cutibacterium_sp,1
dermabacter_hominis,1
dermabacter_sp,1
dermacoccus_nishinomiyaensis,1
dermacoccus_sp,1
diphtheroids_sp,1
exiguobacterium_acetylicum,1
exiguobacterium_sp,1
gordonia_bronchialis,1
gordonia_otitidis,1
gordonia_polyisoprenivorans,1
gordonia_rubripertincta,1
gordonia_sp,1
gordonia_sputi,1
gordonia_terrae,1
janibacter_hoylei,1
janibacter_sp,1
kocuria_kristinae,1
kocuria_rosea,1
kocuria_sp,1
kocuria_varians,1
kytococcus_sedentarius,1
kytococcus_sp,1
leifsonia_aquatica,1
leifsonia_sp,1
leifsonia_xyli,1
microbacterium_arborescens,1
microbacterium_hydrocarbonoxydans,1
microbacterium_imperiale,1
microbacterium_lacticum,1
microbacterium_liquefaciens,1
microbacterium_maritypicum,1
microbacterium_oxydans,1
microbacterium_paraoxydans,1
microbacterium_resistens,1
microbacterium_sp,1
micrococcus_antarcticus,1
micrococcus_luteus,1
micrococcus_lylae,1
micrococcus_nishinomiyaensis,1
micrococcus_sp,1
oerskovia_sp,1
paenibacillus_agaridevorans,1
paenibacillus_alvei,1
paenibacillus_edaphicus,1
paenibacillus_larvae,1
paenibacillus_lentimorbus,1
paenibacillus_macerans,1
paenibacillus_pabuli,1
paenibacillus_polymyxa,1
paenibacillus_popilliae,1
paenibacillus_provencensis,1
paenibacillus_sp,1
paenibacillus_thiaminolyticus,1
paenibacillus_urinalis,1
paenibacillus_validus,1
propionibacterium_australiense,1
propionibacterium_cyclohexanicum,1
propionibacterium_freudenreichii,1
propionibacterium_prionicus,1
propionibacterium_sp,1
propioniferax_sp,1
rhodococcus_erythropolis,1
rhodococcus_fascians,1
rhodococcus_globerulus,1
rhodococcus_gordoniae,1
rhodococcus_rhodochrous,1
rhodococcus_sp,1
roseomonas_cervicalis,1
roseomonas_gilardii,1
roseomonas_mucosa,1
roseomonas_sp,1
rothia_aeria,1
rothia_dentocariosa,1
rothia_mucilaginosa,1
rothia_sp,1
rummeliibacillus_pycnus,1
rummeliibacillus_sp,1
solibacillus_silvestris,1
solibacillus_sp,1
staphylococcus_arlettae,1
staphylococcus_auricularis,1
staphylococcus_capitis,1
staphylococcus_caprae,1
staphylococcus_carnosus,1
staphylococcus_chromogenes,1
staphylococcus_coagneg,1
staphylococcus_cohnii,1
staphylococcus_condimenti,1
staphylococcus_epidermidis,1
staphylococcus_equorum,1
staphylococcus_felis,1
staphylococcus_gallinarum,1
staphylococcus_haemolyticus,1
staphylococcus_hominis,1
staphylococcus_kloosii,1
staphylococcus_lugdunensis,1
staphylococcus_muscae,1
staphylococcus_nepalensis,1
staphylococcus_pasteuri,1
staphylococcus_pettenkoferi,1
staphylococcus_piscifermentans,1
staphylococcus_saccharolyticus,1
staphylococcus_saprophyticus,1
staphylococcus_simulans,1
staphylococcus_succinus,1
staphylococcus_warneri,1
staphylococcus_xylosus,1
streptococcus_alactolyticus,1
streptococcus_anginosus,1
streptococcus_australis,1
streptococcus_bovis,1
streptococcus_constellatus,1
streptococcus_criceti,1
streptococcus_cristatus,1
streptococcus_dentisani,1
streptococcus_downei,1
streptococcus_equinus,1
streptococcus_ferus,1
streptococcus_gallolyticus,1
streptococcus_gordonii,1
streptococcus_hyovaginalis,1
streptococcus_infantarius,1
streptococcus_infantis,1
streptococcus_intermedius,1
streptococcus_lutetiensis,1
streptococcus_macacae,1
streptococcus_mitis,1
streptococcus_mutans,1
streptococcus_oligofermentans,1
streptococcus_oralis,1
streptococcus_parasanguinis,1
streptococcus_peroris,1
streptococcus_pseudopneumoniae,1
streptococcus_ratti,1
streptococcus_salivarius,1
streptococcus_sanguinis,1
streptococcus_sinensis,1
streptococcus_sobrinus,1
streptococcus_tigurinus,1
streptococcus_vestibularis,1
streptococcus_viridans,1
trueperella_bernardiae,1
trueperella_pyogenes,1
trueperella_sp,1
tsukamurella_inchonensis,1
tsukamurella_paurometabola,1
tsukamurella_pulmonis,1
tsukamurella_sp,1
tsukamurella_strandjordii,1
tsukamurella_tyrosinosolvens,1
turicella_sp,1
virgibacillus_pantothenticus,1
virgibacillus_sp,1
